region,location,num_of_rooms,size,fee,final_price,initial_price,year_built,mgmt_cost
Stockholm,Södermalm,3.5,103,5176,10675000,8695000,1914,10900
Solna,Hagastaden,1,26,1858,2350000,1995000,1959,10900
Stockholm,Kungsholmen,2.5,60.5,1488,5800000,4995000,1929,4272
Stockholm,Södermalm,1,45,1920,3250000,2495000,1926,4272
Stockholm,Stureby,3,59,3495,3300000,2695000,1952,3600
Stockholm,Gärdet,3,72,3900,6000000,5750000,1966,5400
Stockholm,Aspudden,1.5,38,2242,2820000,2195000,1942,5400
Stockholm,Vasastan,2,57.3,628,5530000,4995000,1891,5520
Stockholm,Farsta,2,45.5,2819,2400000,1995000,2011,3468
Stockholm,Kungsholmen,1,25,1527,2580000,2250000,1937,5400
Sollentuna,SollentunaCentrum,3,73,4472,3500000,3500000,2008,4800
Stockholm,Kungsholmen,1.5,32,2226,3050000,2595000,1936,8040
Nacka,JärlaSjö,1,36,2100,2550000,2550000,2017,8040
Sundbyberg,LillaAlby,3,79,3864,4825000,4990000,2009,6000
Stockholm,Hägerstensåsen,2,54,2365,3200000,3200000,2009,6000
Solna,Råsunda,1,38,1759,2800000,2395000,1944,5000
Stockholm,Södermalm,3,69,3860,5750000,5750000,1943,7500
Solna,Råsunda,2,40,2330,3350000,2795000,1912,4200
Stockholm,Stockholm,3,83,5260,2200000,1995000,1968,4200
Nacka,Orminge,2,61,3459,1870000,1695000,1970,4860
Solna,Frösunda,2,51,3474,3050000,2950000,2004,4860
Nacka,Finntorp,3.5,64,3663,4100000,3595000,2001,5760
Nacka,Saltsjöbaden,2,63.3,3360,1865000,1695000,1972,7080
Sundbyberg,LillaAlby,2,63.3,3840,3250000,2895000,1963,7080
Stockholm,Västertorp,2,54,3044,2920000,2395000,1950,2400
Stockholm,Katarina,4,90,4174,7200000,6250000,1905,2400
Solna,VästraSkogen,2,47,2524,3125000,2695000,2016,5256
Stockholm,Sköndal,3,71,4664,2510000,2245000,2016,5256
Stockholm,Hammarbyhöjden,3,53,3120,3475000,2895000,1937,5400
Sollentuna,Häggvik,1,34.6,1853,1995000,1995000,2014,4500
Stockholm,Årsta,2,55,2947,2910000,2495000,1945,4500
Nacka,JärlaSjö,2,78,3500,4600000,4495000,1945,7440
Stockholm,Vasastan,2,50,2954,4350000,4350000,1929,9500
Stockholm,Kungsholmen,2,62,2458,5050000,4850000,1914,3000
Solna,Solna,1,18.5,1450,1750000,1780000,1973,1200
Stockholm,Högdalen,3,70,4471,2680000,1995000,1954,1200
Stockholm,Bromma,2,72,4389,3250000,3295000,2017,6360
Stockholm,Södermalm,3,81,2835,6210000,5495000,1987,6900
Stockholm,Södermalm,3,84,4456,7000000,6495000,1931,9500
Nacka,Nacka,3.5,80,6219,2450000,2295000,1931,6000
Stockholm,Årsta,5,105.5,5820,4300000,4395000,1931,6700
Stockholm,Södermalm,2,45,2802,4410000,3995000,1930,4200
Stockholm,Örby,3,70,3105,3005000,2495000,1957,4200
Nacka,Nacka,3,61,3667,2015000,1695000,1957,5400
Stockholm,Odenplan,3,90,3443,8650000,7950000,1884,5400
