region,location,num_of_rooms,size,fee,final_price,initial_price,year_built,mgmt_cost
Sundbyberg,LillaAlby,1,39,2996,2195000,2195000,1942,8600
Stockholm,Abrahamsberg,2,40,2778,2500000,2500000,1939,8600
Stockholm,Högdalen,1.5,41,2571,2420000,1995000,2013,1150
Stockholm,Årsta,2,55,3059,2850000,2375000,1944,1150
Nacka,Ektorp,4,72.5,4355,2875000,2875000,1960,4800
Stockholm,Södermalm,5,133,8028,9900000,8975000,1991,5900
Sundbyberg,SundbybergJärvastaden,4,100,4975,4650000,4695000,2012,5900
Stockholm,Liljeholmskajen,3,77,4236,4740000,4595000,2016,5640
Solna,Råsunda,1,25,1523,2200000,1795000,1940,5640
Stockholm,Hägerstensåsen,2,51,3410,2850000,2395000,1946,6976
Nacka,Saltsjö,1,20,1354,1400000,1150000,2017,5400
Sollentuna,Sollentuna,2,51,3764,1775000,1695000,1987,800
Stockholm,Vasastan,4,88,1978,6725000,5995000,1969,6400
Stockholm,EnskedeBlåsut,2,57,2330,3150000,2750000,1944,5376
Stockholm,Östermalm,2,59,1926,6500000,6500000,1897,7200
Sundbyberg,Sundbyberg,3,75,5542,3850000,3495000,1967,7200
Stockholm,Södermalm,1.5,44,2070,3800000,2995000,1981,7200
Stockholm,Riksby,2,39,2162,2510000,1995000,1940,3600
Stockholm,Älvsjö,3,79,4242,3990000,3695000,2018,7080
Stockholm,Vasastan,2,59,2395,5350000,4950000,1926,7080
Sundbyberg,Hallonbergen,2,68.8,3191,1950000,1950000,1972,7080
Stockholm,Högdalen,3,72,3799,2650000,2195000,1956,7080
Solna,Huvudsta,2,62,3539,3420000,3195000,2013,7080
Solna,Råsunda,4,97,5416,6350000,6350000,2019,7080
Solna,Frösunda,1,27.5,2101,1950000,1650000,1998,2724
Stockholm,Hammarbyhöjden,3,66,4719,3900000,3495000,1998,2724
Stockholm,Norrmalm,1,22,1455,2500000,2395000,1959,2400
Stockholm,Örby,2.5,57.5,3831,2500000,2275000,1959,6000
Stockholm,Liljeholmskajen,2,64,3938,3950000,3695000,2004,7400
Stockholm,Midsommarkransen,2,51,2384,3000000,2695000,2004,7400
Stockholm,Kungsholmen,3,77,4456,4637000,4695000,1967,4800
Stockholm,Hammarbyhöjden,2,42,2982,2630000,2095000,1967,4800
Stockholm,Södermalm,3,80.2,5071,4700000,4395000,2000,7800
Stockholm,Vasastan,1,28,1560,2800000,2395000,1929,7800
Stockholm,Stureby,1,18,1508,1700000,1495000,1952,7800
Stockholm,Östermalm,2,64,2057,6200000,5750000,1893,7800
Stockholm,Vasastan,3,86,3510,8050000,6995000,1929,7200
Stockholm,Fruängen,4,127,6282,6450000,5295000,2008,6516
Nacka,Kvarnholmen,3.5,93,4325,12100000,12500000,2014,5400
Stockholm,Hornstull,3,60,2494,4150000,4150000,2014,5400
Stockholm,Högdalen,3,75.5,3948,2800000,2250000,1955,5400
Stockholm,Aspudden,2,58,3776,3020000,2395000,1947,9000
Sollentuna,Tureberg,3,76,4750,2995000,2995000,2016,3800
Stockholm,Vällingby,3,65,5042,2150000,1995000,2005,4000
Nacka,Saltsjöqvarn,1.5,43,2944,2625000,2495000,2005,4000
Stockholm,Katarina,2,43,2495,3400000,3150000,1938,4000
Stockholm,Hässelby,2,54,3343,2170000,1895000,2017,3200
Stockholm,Blackeberg,2.5,59,3329,2400000,2095000,1952,7077
Sollentuna,Edsberg,3,66,3489,2100000,2195000,1963,4500
Stockholm,NorraDjurgårdsstaden,2,54,3213,4125000,4250000,2014,4500
Stockholm,NorraÄngby,3,76,4190,3300000,3300000,2009,4600
Stockholm,Sätra,3,60.5,3843,2490000,2490000,2014,4600
Stockholm,Kungsholmen,3,68,3810,5150000,4495000,1932,4600
Stockholm,Kungsholmen,2,50,3395,3700000,2995000,1944,9000
Solna,Huvudsta,2,60.5,3383,3410000,3195000,1971,9000
Stockholm,Bagarmossen,1,42,3088,2410000,1850000,1954,5400
Nacka,Ekudden,3,77.5,4526,4250000,3995000,1966,5400
Stockholm,Akalla,2,65,3984,1750000,1695000,1978,5400
Stockholm,Kungsholmen,2,38,2760,3380000,2995000,1937,5400
Solna,Huvudsta,4,100.5,4356,4250000,4150000,1962,5400
Stockholm,Vasastan,3,84,3624,7250000,6995000,1974,5400
Solna,Järvastaden,3,80,3449,4300000,3795000,2011,5400
Stockholm,Annedal,1,32,2665,2230000,1995000,2013,5400
Stockholm,Fruängen,1,32,1801,2220000,1795000,2012,2400
Stockholm,Kistagård,3,67,3130,2540000,2600000,2010,2400
Stockholm,Kungsholmen,3,81,4016,5700000,5750000,2011,8400
Solna,SolnaCentrum,2,57.5,2982,3050000,3050000,1965,5256
Stockholm,Sätra,3,75,4894,2600000,2495000,1966,5256
Stockholm,Midsommarkransen,2,55,3143,3600000,2995000,2011,5256
Stockholm,Älvsjö,2,50,2896,2450000,2195000,1945,5256
Stockholm,Västertorp,2,69,3867,2600000,2550000,1995,4800
Sollentuna,Silverdal,3,68,3963,3400000,3195000,2013,6600
Nacka,Stensö,4,91,5861,2120000,1995000,1967,6600
Stockholm,LillaEssingen,2,47,3080,3695000,3695000,2007,4389
Stockholm,Kungsholmen,3,64.5,1594,6820000,5795000,1927,5900
Stockholm,Vällingby,2,58,3526,2110000,1995000,1953,5400
Stockholm,Östermalm,2,47,1764,5400000,5000000,1903,2500
Stockholm,Södermalm,2,39,2217,3850000,3295000,1930,2500
Stockholm,Östermalm,2,46,2757,4550000,4595000,1937,5880
Stockholm,SpångaSolhem,2,50.5,3844,2020000,1890000,2003,5400
Stockholm,Traneberg,3,80,4362,5950000,4995000,1938,6446
Stockholm,Vasastan,2,48,2229,4875000,4195000,1940,4500
Stockholm,Vasastan,3,70,2293,9700000,8495000,1897,14520
Stockholm,SpångaSolhem,2,57,3772,2330000,1990000,2008,6864
Solna,SolnaC,3,78,3988,4360000,3995000,1991,6000
Stockholm,Vasastan,2,37,2052,3220000,2950000,1927,6000
Sundbyberg,Sundbybergcentrum,2,46,2276,3350000,2995000,2017,6600
Stockholm,Södermalm,1,34,2212,2950000,2550000,1911,3540
Stockholm,Kungsholmen,2,39.5,2260,3400000,2995000,1931,5256
Sundbyberg,Storskogen,3,73,4258,4050000,3790000,1950,5256
Stockholm,Bromma,3,76,4450,5350000,4995000,2014,8196
Solna,Ritorp,2,54.6,2639,2630000,1995000,1954,5244
Stockholm,Johanneshov,1.5,35,2581,2470000,2150000,1942,5244
Stockholm,Bromma,3,71,3106,3725000,3395000,2014,4500
Stockholm,Södermalm,3,72.5,3228,5420000,4850000,1981,7504
Solna,Frösunda,3,84,4294,4400000,4400000,2011,7640
Stockholm,Årsta,3,76,5326,4200000,3175000,1951,7640
Solna,Järvastaden,3,76,4198,4180000,3795000,2016,7800
Solna,Bergshamra,3,81.1,3758,4100000,3795000,1985,6860
Stockholm,Bromma,2.5,64.5,3371,3425000,2995000,2015,4560
Stockholm,Stockholm,3,83,5163,2250000,2300000,1960,4560
Stockholm,Gröndal,3,70,3959,5710000,4995000,1947,3000
Stockholm,Södermalm,2,39,1372,3210000,2875000,1915,3000
Stockholm,Vasastan,3,78,3276,9500000,7450000,1905,6500
Stockholm,Bromma,2,60,2147,3400000,3095000,1938,5000
Stockholm,HammarbySjöstad,2,41,1647,3150000,2995000,2003,5000
Solna,Råsunda,2,58.5,3087,3000000,2695000,1947,5000
Stockholm,Kungsholmen,2,43,2416,3700000,3295000,1931,7584
Nacka,Nacka,3,70.5,3733,3495000,3495000,1955,6000
Stockholm,Södermalm,4,107,6020,7850000,6495000,1983,6000
Stockholm,StoraEssingen,2,47,3265,3200000,3200000,1944,9000
Stockholm,Kungsholmen,2,45,2235,3100000,3100000,1936,9000
Stockholm,Östermalm,2,34,2094,2975000,2695000,1939,4200
Stockholm,Bromma,2,42,3750,2350000,1995000,1942,9696
Solna,SolnaJärvastaden,2,43,2714,2605000,2275000,2013,9696
Stockholm,Aspudden,2,43,3068,2800000,2450000,1937,5465
Stockholm,Hässelby,1,32,2292,1595000,1595000,2017,4300
Nacka,Finnberget,2,55,3151,2690000,2295000,2017,4200
Stockholm,HammarbySjöstad,3,86,4478,5950000,6595000,2019,9060
Stockholm,Årsta,2,42.7,2225,2550000,2190000,1945,3960
Solna,Råsunda,2,45,2774,3110000,2695000,1939,3743
Stockholm,Älvsjö,2,57,3114,2450000,1995000,1949,6264
Stockholm,Enskede,1,33,2382,1850000,1495000,2007,6264
Stockholm,Östermalm,2.5,55,2821,4600000,4195000,2007,4992
Stockholm,Kungsholmen,2,47,1056,4100000,3795000,1930,4200
Stockholm,Södermalm,1,19.4,1428,2490000,2095000,1930,4200
Stockholm,Kungsholmen,1,30,1847,3000000,3000000,1929,4200
Solna,SolnaHagaNorra,2,54,3430,2800000,2495000,1946,4200
Stockholm,Årsta,3,75.5,4109,3100000,2795000,1960,5100
Stockholm,Maria,2,34,1639,3560000,3095000,1878,7920
Solna,Järvastaden,3,80,3449,4410000,3995000,2012,7200
Stockholm,Liljeholmen,3,80,4989,5250000,5250000,2008,5040
Stockholm,Kungsholmen,1,28,2013,2975000,2995000,1911,5040
Stockholm,Södermalm,2,68,1247,6640000,5750000,1938,9000
Sollentuna,Häggvik,4,93,5386,3700000,3495000,2014,9000
Stockholm,Kungsholmen,1.5,28,1709,2450000,2500000,1934,9000
Solna,Bergshamra,2,58,2706,3180000,2795000,1959,6140
Stockholm,Riksby,2,51,2856,3000000,2690000,1942,4800
Stockholm,Högdalen,2,59.5,3193,2425000,1995000,1955,3600
Stockholm,Midsommarkransen,2,51,2950,3380000,2695000,1939,3960
Stockholm,Södermalm,3,80,2301,6650000,6250000,1939,5736
Solna,Råsunda,2,53,3106,3500000,2895000,1948,5400
Stockholm,Aspudden,2,52,2992,3500000,2995000,1945,7776
Stockholm,Östermalm,3,68,2654,6475000,6475000,1903,6000
Stockholm,Aspudden,3,70.5,3909,5000000,3995000,1947,5400
Stockholm,Stockholm,3.5,109.5,6417,3300000,2995000,1958,5400
Stockholm,Högdalen,3,66,3946,3300000,2995000,2018,4500
Solna,Råsunda,2,53,3187,3100000,2595000,1944,4500
Nacka,NackaForum,3,84.5,5788,3800000,3800000,1944,4500
Stockholm,Östermalm,3,61,2885,5200000,4995000,1944,7300
Stockholm,Kungsholmen,2,38.5,2465,3360000,2990000,1898,3700
Solna,Råsunda,1.5,37,2066,2700000,2795000,1898,3600
Stockholm,Liljeholmskajen,3,70,4133,4580000,4495000,2015,8700
Stockholm,Björkhagen,3,76,4238,4400000,3975000,1949,4980
Stockholm,Vasastan,2,42,1933,4200000,4200000,1928,5000
Stockholm,Högdalen,2,54.5,3389,2430000,2095000,1928,6500
Stockholm,Traneberg,1.5,32,2432,2750000,2390000,1936,4200
Nacka,Nacka,2,45,2625,3395000,3395000,1936,4800
Stockholm,Östermalm,2,54,2777,6260000,5495000,1883,4800
Stockholm,Östermalm,3,73,2470,7600000,6750000,1950,3200
Stockholm,Östermalm,2,67,1469,6850000,6495000,1905,3200
Stockholm,Katarina,2,70,3609,5125000,4875000,1999,7458
Stockholm,Kungsholmen,1,27,1623,2460000,2150000,1931,7458
Stockholm,Vasastan,2,62,2246,5500000,5395000,1901,11200
Stockholm,Vasastan,2,31.5,2339,3350000,2995000,1928,11200
Stockholm,Hornstull,2,35.8,2028,3425000,2995000,1938,6950
Solna,Ulriksdal,2,67,3490,3300000,3095000,1938,5424
Stockholm,Aspudden,2,42,2619,3060000,2495000,1929,5424
Stockholm,Enskededalen,3.5,73,4471,4125000,3995000,1930,7240
Stockholm,Katarina,1.5,43,2371,3420000,2995000,1931,7080
Sundbyberg,Ursvik,2,55,2803,2460000,2295000,2012,3900
Stockholm,Norrmalm,3,87,2242,7800000,7295000,1907,14576
Stockholm,Mariatorget,4,85,3574,8350000,7650000,1912,8040
Stockholm,Årsta,2,43.5,2445,2410000,1895000,1943,7334
Stockholm,Vasastan,1.5,27.7,834,2850000,2900000,1973,3633
Stockholm,Vasastan,2,60,2791,5525000,4795000,1934,3633
Stockholm,Kista,3,86,4410,2850000,2695000,1975,3633
Stockholm,Beckomberga,3,71,4419,3250000,3195000,2013,3500
Stockholm,Vasastan,2,66,2941,5200000,4995000,1925,3500
Stockholm,Södermalm,2,53,2462,4350000,3950000,1904,4000
Stockholm,Kungsholmen,2,36,2218,3200000,2795000,1939,3672
Stockholm,Blåsut,2,41,2197,3130000,2495000,2019,7080
Stockholm,Riksby,2,53,2893,2950000,2495000,1942,4500
Stockholm,Kungsholmen,1,23,1691,2500000,1995000,1930,4632
Solna,VästraSkogen,2,56.5,2840,2920000,2595000,1962,3000
Stockholm,Stockholm,2,54,1960,5550000,5000000,1906,3000
Stockholm,Bromma,2,40,1972,2750000,2750000,1931,3000
Stockholm,Vasastan,2,57,2185,5460000,4950000,1900,7800
Stockholm,Gamla Stan,1,25,1924,2655000,2150000,1930,7800
Stockholm,Kungsholmen,1.5,42,1831,3950000,3450000,1926,7800
Stockholm,Södermalm,1.5,31,1864,2800000,2395000,1931,4800
Stockholm,Midsommarkransen,1,30,1670,2600000,2195000,1972,4800
Solna,Råsunda,1,36,2139,2510000,1795000,1938,3792
Sollentuna,Silverdal,3,73,3837,3550000,3200000,2011,7200
Stockholm,Hägerstensåsen,2,50,3823,2670000,2095000,1944,5000
Stockholm,Södermalm,2.5,54,2343,4800000,4495000,1883,5000
Stockholm,Kungsholmen,2,38.5,1450,3725000,3095000,1959,5000
Solna,Huvudsta,4,103,5120,4900000,4595000,1966,5000
Stockholm,StoraEssingen,1.5,37,1940,2820000,2495000,1966,6840
Stockholm,Kungsholmen,2,46,2156,3650000,3150000,1931,6840
Solna,Frösunda,2,56,3113,3330000,2795000,2005,3904
Stockholm,Hammarbyhöjden,2,58,3196,3205000,2750000,1949,5400
Stockholm,Kungsholmen,2,38.5,2135,3110000,2795000,1931,7920
Stockholm,Bromma,2,41,3485,2405000,1950000,1944,6204
Solna,Vireberg,2,60.7,2957,3675000,2895000,1954,5700
Stockholm,ÖrbySlott,3,74,3783,2750000,2495000,1949,5700
Solna,Järvastaden,5,123,5456,6170000,5795000,2015,10800
Stockholm,Vasastan,3,117,5503,10500000,9695000,1897,7800
Stockholm,Södermalm,2,36,995,3600000,2995000,1907,3400
Stockholm,Årsta,3,53,3540,3025000,2575000,1943,3400
Stockholm,Södermalm,2,56,3146,4710000,3975000,1929,4860
Stockholm,Vasastan,2,62,1445,4375000,3995000,1970,3800
Stockholm,Sofia,2,40,1516,3050000,2850000,1964,3480
Stockholm,Hammarbyhöjden,2,40,2678,2720000,2350000,1939,3480
Stockholm,Årsta,2,42.7,2523,2540000,2295000,1944,4800
Stockholm,Vasastan,2,49,2431,5275000,4375000,1928,5064
Stockholm,Högalid,1,33,2274,3050000,2595000,1941,4800
Stockholm,Riksby,2,53.5,2893,2980000,2495000,1942,4200
Stockholm,Midsommarkransen,2,44.5,3589,2950000,2490000,1939,4200
Stockholm,Enskede,1,30,1264,2500000,1995000,1925,6228
Solna,HagaNorra,2,63,2839,3100000,2995000,1950,6228
Sundbyberg,Sundbyberg,1,38.5,2280,2660000,2295000,1928,6228
Stockholm,Midsommarkransen,2,42,3066,2650000,2095000,1944,7476
Stockholm,Bromma,1,33,1927,2520000,1995000,2017,7476
Stockholm,Östermalm,1,26,1015,3210000,2495000,1939,1800
Stockholm,Södermalm,2,47,2521,4160000,3475000,1883,5200
Stockholm,Snösätra,3,86.5,5899,2495000,2495000,1982,5200
Stockholm,Kungsholmen,2,53,2645,4250000,3495000,1939,4000
Stockholm,Södermalm,1,39,1586,3700000,3250000,1909,3300
Solna,Arenastaden,2,57,3634,3200000,2995000,2018,1995
Stockholm,Gröndal,3,85,4334,6000000,5495000,2018,1995
Stockholm,Kärrtorp,2,49,3769,2600000,2295000,2008,8700
Stockholm,Kungsholmen,2,37.5,845,3835000,3350000,1930,3960
Stockholm,Blåsut,3,85,4958,4100000,4100000,2015,4800
Stockholm,Vasastan,2,44,1553,4420000,3975000,1895,5480
Solna,Råsunda,1,40,1883,2650000,2395000,1911,4500
Stockholm,Hagsätra,5,117,6560,2250000,2350000,1956,7320
Sundbyberg,Sundbyberg,2,61.5,4951,2600000,2395000,1966,7320
Stockholm,Vasastan,2,34,1603,3450000,3250000,1880,5364
Stockholm,Bandhagen,2,49.5,3069,2525000,1995000,1953,6000
Stockholm,Kungsholmen,3,76,3387,7960000,6950000,1931,4860
Stockholm,HammarbySjöstad,2,66,3485,4330000,4195000,2011,5160
Sollentuna,Helenelundscentrum,4,76,5247,2495000,2495000,1944,4200
Stockholm,Vasastan,3,84,3727,7950000,7250000,1906,6255
Stockholm,Östermalm,2,41.5,2173,4150000,3495000,1933,6576
Solna,Huvudsta,2,58,2963,3325000,2750000,1952,3103
Stockholm,GamlaEnskede,5,132,7251,8100000,6975000,1910,12660
Stockholm,Södermalm,2,41,1944,4650000,3495000,1900,4800
Stockholm,Akalla,3,73,3919,2000000,1895000,1976,4800
Stockholm,Enskede,4,93,6229,4300000,3495000,1996,5900
Solna,Hagalund,1.5,49.5,2246,2450000,2095000,1973,3200
Stockholm,Kungsholmen,3.5,100,870,8900000,7900000,1929,6400
Nacka,Saltsjöbaden,2,71,4332,4250000,4150000,1929,6400
Nacka,Kvarnholmen,2,48,2868,3550000,3575000,2017,7200
Stockholm,Vällingby,3,79,4180,3795000,3795000,2019,4200
Stockholm,Kungsholmen,1,32,2514,3020000,2695000,1934,6684
Nacka,Nacka,4,93,5565,2600000,2395000,1934,5400
Stockholm,Södermalm,3,72,2404,5750000,4895000,1991,5628
Stockholm,Östermalm,2,50,2390,4025000,3750000,1943,5628
Stockholm,Gärdet,1,24,440,2700000,2195000,1962,5628
Stockholm,Högdalen,2,66,3300,2400000,1995000,1962,4200
Stockholm,Kungsholmen,3,75,3750,7225000,6450000,2016,4200
Stockholm,Kungsholmen,2,52,2820,4620000,4725000,1898,3600
Stockholm,Östermalm,2,86,3737,8450000,7995000,1895,3600
Stockholm,Traneberg,2,43,2510,2950000,2495000,1945,4000
Stockholm,HammarbySjöstad,2,55,3251,3900000,4050000,2018,7300
Stockholm,Stockholm,1,24,1278,2600000,2195000,2018,3400
Stockholm,Vasastan,1,33,1655,3850000,3475000,1886,6400
Stockholm,Bandhagen,2,55,3225,2350000,1995000,1886,3600
Stockholm,Södermalm,2,42.5,3288,4000000,3295000,1996,3600
Stockholm,Bagarmossen,2,55,4059,2800000,2295000,1953,6200
Solna,Huvudsta,3,82.3,4023,3810000,3495000,1966,5500
Stockholm,Katarina,2,40,2339,4025000,3395000,1935,5690
Solna,Karolinska,1,34,2150,2200000,2200000,1972,1400
Stockholm,Östermalm,2,53,2118,5100000,4995000,1902,6000
Stockholm,Sofia,3,82,3793,6395000,6395000,1929,3000
Stockholm,Hornstull,2,32,1680,3300000,2750000,1938,3000
Sundbyberg,CentralaSundbyberg,1.5,39,1990,2915000,2900000,2015,3000
Sundbyberg,Ursvik,2,58,3393,2600000,2295000,2018,3000
Stockholm,EnskedeGård,2,62,4037,2550000,2695000,1989,6000
Stockholm,Farsta,1,25,1371,1700000,1495000,1958,2487
Sundbyberg,LillaAlby,2,67,3396,4670000,4395000,2017,9216
Solna,Arenastaden,3,69,4399,4000000,3995000,2019,9216
Stockholm,Östermalm,3.5,86,4958,4990000,4990000,2007,9216
Stockholm,HammarbySjöstad,2.5,71,3537,4350000,3995000,2002,5400
Stockholm,Årsta,3,55.5,4434,3590000,2995000,1943,5076
Stockholm,Kungsholmen,2,42,1996,2900000,2995000,1950,13926
Solna,Skytteholm,2,54,2154,3000000,2495000,1957,13926
Sundbyberg,CentralaSundbyberg,3,93,5596,6000000,5395000,2013,10100
Stockholm,Liljeholmskajen,4,103,5994,6040000,5495000,2016,10100
Stockholm,Södermalm,2,44,2433,4160000,3550000,1937,4620
Stockholm,Kista,2,46,2960,1670000,1495000,1976,4620
Stockholm,Västertorp,2,58,2930,2620000,2295000,1949,4800
Stockholm,Hässelby,4,91,5500,2425000,2275000,1984,4800
Stockholm,Vasastan,3,90,3551,8650000,8495000,1885,4800
Stockholm,Vasastan,1.5,35,2312,4150000,3295000,1898,5100
Stockholm,Vasastan,3,72,2459,7725000,6150000,1908,6360
Solna,GamlaFilmstaden,5,121,7070,7550000,6595000,2006,10200
Stockholm,Aspudden,2,54,2934,3750000,2750000,1946,3600
Stockholm,Kungsholmen,2,50,3546,4225000,2995000,1944,3000
Nacka,Jarlaberg,2,63,4095,2285000,1995000,1988,4320
Stockholm,Traneberg,3,78,5031,4200000,3895000,1936,4200
Stockholm,Svedmyra,3,74,4243,3700000,2895000,1950,1800
Stockholm,Kristineberg,1.5,31,1892,2600000,2395000,1934,1700
Stockholm,Södermalm,1,40,2144,3250000,2950000,1931,10632
Stockholm,Årsta,3,56.5,4004,3105000,2675000,1945,10632
Stockholm,HammarbySjöstad,3,66.5,3850,4950000,4795000,2008,5604
Stockholm,Liljeholmen,2.5,72,2864,4010000,3395000,1962,5604
Stockholm,Hagsätra,3,73,4484,2100000,2100000,1959,2150
Nacka,VästraOrminge,2,61,4350,1995000,1995000,1969,2150
Stockholm,Vasastan,2,46,1921,5225000,4195000,1904,2150
Stockholm,Vasastan,3,50,2531,5150000,4395000,1947,7980
Solna,Huvudsta,2,66,3445,2730000,2495000,1968,6540
Stockholm,Bromma,2,46.5,3621,2460000,1995000,1939,4400
Stockholm,Vasastan,2,47,2244,4050000,3650000,1929,3000
Stockholm,Hökmossen,2,43,2589,2600000,1950000,1944,3000
Stockholm,Bromma,2,42,2880,2475000,1995000,1944,3000
Stockholm,Spånga,3,64.3,3516,3200000,2995000,1996,13831
Nacka,NackaStrand,3,62,3358,3995000,3995000,2019,8280
Stockholm,Vasastan,2,51,2451,4600000,4095000,1925,3800
Stockholm,Kungsholmen,4,93,4599,5695000,5695000,1932,6000
Solna,Bergshamra,2,63,2851,3450000,2950000,1990,5600
Stockholm,Älvsjö,2,55,3165,2900000,2695000,2018,5720
Solna,Råsunda,2,56,3127,3250000,3250000,2019,4000
Stockholm,Älvsjö,1.5,37,2762,2000000,1695000,1958,2388
Solna,Skytteholm,2,54,2154,3210000,2795000,1957,5400
Solna,SolnaUlriksdal,2,42,2415,2700000,2395000,2014,5400
Solna,GamlaFilmstaden,2,66,3435,3800000,3595000,2003,5500
Stockholm,Vasastan,2,47,2272,4150000,3990000,1925,4600
Stockholm,Högdalen,1,30,1721,1600000,1600000,1955,5500
Stockholm,Hägerstensåsen,3,67,4322,4725000,3495000,1947,4800
Stockholm,Vasastan,2,31,1240,3800000,3195000,1906,4000
Stockholm,Kungsholmen,1,24,1410,3100000,2995000,1939,3500
Stockholm,Södermalm,3,61.5,2866,5350000,4495000,1932,4500
Stockholm,Vasastan,2,44,639,4300000,3995000,1884,3900
Nacka,Saltsjöbaden,2,59.2,2775,2045000,1995000,1884,4000
Stockholm,Kungsholmen,1,40,2467,3375000,2995000,2007,6300
Nacka,Ältacentrum,3,78,4946,2350000,2195000,1971,6240
Stockholm,Älvsjöstaden,4,93,4824,4450000,4395000,2017,9600
Stockholm,Kungsholmen,3,73,3984,7050000,7100000,1927,9600
Stockholm,Södermalm,3,80,2301,6950000,6800000,1968,9800
Stockholm,Kungsholmen,2.5,63,2763,5850000,5650000,1931,5400
Stockholm,Vasastan,3,82,2801,7725000,6995000,1909,5400
Stockholm,Kungsholmen,2,53,2702,4625000,4275000,1932,3600
Stockholm,Kungsholmen,2,58,2639,6600000,5795000,1904,3600
Stockholm,Kungsholmen,3,101,3370,8730000,8475000,1904,5900
Stockholm,Östermalm,2,31,940,3525000,2975000,1896,5900
Sollentuna,Kvarnskogen,2,55,3069,1985000,1995000,2008,4200
Stockholm,Stureby,3,88,5258,3900000,3595000,1952,9200
Stockholm,Ulvsunda,2,41,3227,2250000,2250000,1944,5000
Stockholm,Sätra,3,70.7,3889,2480000,1990000,2001,4000
Nacka,ÄltaHedvigslund,3,66,3623,3200000,3295000,2017,4000
Stockholm,Maria,2,41,2779,3800000,3925000,1901,4000
Stockholm,Åkeslund,2,47,2752,2700000,2700000,1942,2600
Stockholm,Traneberg,1.5,43,1870,2950000,2495000,1934,2400
Stockholm,Duvbo,4,85.5,3845,2900000,2900000,1934,2400
Stockholm,Vasastan,4,106,4477,8000000,7795000,1973,2400
Solna,Råsunda,1,24,1562,2250000,1995000,1943,2400
Stockholm,Bandhagen,4,87.5,5476,2420000,2190000,1960,4800
Stockholm,HammarbySjöstad,5,128,6617,8700000,8700000,2017,8000
Solna,SolnaSkytteholm,5,145,6629,6000000,4995000,1958,8000
Nacka,Saltsjöqvarn,4,124.5,5389,7550000,7500000,2000,8400
Stockholm,Mälarhöjden,1,33,1568,2400000,1995000,1942,3550
Stockholm,Kungsholmen,2,44,2148,4200000,3995000,1931,2400
Stockholm,Hjorthagen,2,40,2661,3025000,2650000,1935,6200
Solna,Råsunda,2,65,3419,5100000,5100000,1911,6500
Solna,Ulriksdal,2,59,3442,3100000,2995000,2016,5320
Stockholm,Sofia,2,58,3438,4650000,3950000,2005,2400
Stockholm,Hässelby,3,76,4540,2500000,2295000,1957,4000
Stockholm,Råcksta,1,39,1972,1970000,1795000,1957,4843
Stockholm,Bagarmossen,2,58,3866,2865000,2395000,1954,4560
Sollentuna,Kärrdal,1,29.5,1746,1335000,1000000,1975,3577
Stockholm,Midsommarkransen,1,35,2235,2780000,2195000,1949,4392
Stockholm,Vällingby,2,42,3149,2300000,1995000,2012,5000
Stockholm,HammarbySjöstad,3,76,4281,6500000,5725000,2008,7680
Nacka,VästraOrminge,3,81,4281,2350000,1995000,2008,6000
Stockholm,Fruängen,3,74,3970,3775000,3695000,2009,10860
Solna,Frösunda,3,74,4307,3600000,3600000,2004,5900
Stockholm,Vasastan,2,42,2241,4300000,3795000,1925,4200
Solna,Råsunda,2,62,3578,3800000,3295000,1946,4200
Stockholm,Årsta,2,56,3464,2825000,2495000,1946,4200
Stockholm,Katarina,2,61,1933,4700000,4395000,1975,4200
Stockholm,Bromma,4,87,5437,4950000,4595000,2012,7800
Solna,VästraSkogen,3,87.5,4508,4300000,3795000,2016,7416
Stockholm,Kungsholmen,2,49,2413,4050000,3895000,2013,3120
Stockholm,Årsta,2,44,3002,2700000,2395000,1943,3120
Stockholm,Mälarhöjden,2,53,3526,3100000,2895000,1926,5760
Stockholm,Älvsjö,3,76,3927,3350000,2995000,2008,5760
Stockholm,Kungsholmen,2,48,2741,4100000,4100000,1931,4200
Stockholm,Östermalm,2,35,1482,3675000,3150000,1963,4200
Stockholm,HammarbySjöstad,1,22,1513,2250000,1950000,1963,900
Stockholm,Södermalm,2,67,4076,4630000,4150000,1992,900
Stockholm,Globen,1,25,1641,2140000,1795000,1943,900
Stockholm,Bagarmossen,3,77,4057,3950000,3295000,2009,6800
Stockholm,Örby,1,26,1551,1725000,1495000,2015,3600
Solna,Huvudsta,4,103,4910,4370000,4195000,1967,4821
Stockholm,ÄlvsjöHagsätra,2,62,4364,1800000,1795000,1958,4821
Stockholm,Kungsholmen,3,77,4430,7120000,6995000,1909,13000
Stockholm,Gullmarsplan,3,75,3863,4550000,4195000,1946,13000
Stockholm,Östermalm,2,66,3174,6200000,6390000,1912,5400
Stockholm,JohanneshovGloben,1.5,28,1758,2325000,1995000,1945,4236
Sundbyberg,Sundbyberg,3,79.5,4292,2650000,2495000,1983,5750
Stockholm,Johannesfred,3,64,3865,2925000,2595000,1946,5900
Stockholm,Kungsholmen,2.5,66,1344,6200000,5590000,1946,5900
Stockholm,Traneberg,3,73,3737,5300000,5300000,1946,5200
Stockholm,Östermalm,1,31,1928,4200000,3495000,1906,5200
Stockholm,Södermalm,2.5,68,2162,5340000,4695000,1964,7600
Stockholm,Älvsjö,2,57,3128,2000000,1795000,1968,9600
