region,dist_to_central_st,num_of_rooms,size,fee,final_price,initial_price,year_built
Stockholm,962,1.5,32,2226,3050000,2595000,1936
Nacka,1571,1,36,2100,2550000,2550000,2017
Sundbyberg,357,3,79,3864,4825000,4990000,2009
Stockholm,1488,2,54,2365,3200000,3200000,2009
Solna,1003,1,38,1759,2800000,2395000,1944
Stockholm,1077,3,69,3860,5750000,5750000,1943
Solna,1306,2,40,2330,3350000,2795000,1912
Stockholm,1220,3,83,5260,2200000,1995000,1968
Nacka,2480,2,61,3459,1870000,1695000,1970
Solna,525,3,78,3645,4410000,3995000,1969
Solna,1269,2,51,3474,3050000,2950000,2004
Nacka,1798,3.5,64,3663,4100000,3595000,2001
Nacka,3109,2,63.3,3360,1865000,1695000,1972
Sundbyberg,1025,2,63.3,3840,3250000,2895000,1963
Stockholm,1287,2,54,3044,2920000,2395000,1950
Stockholm,645,4,90,4174,7200000,6250000,1905
Solna,943,2,47,2524,3125000,2695000,2016
Stockholm,1592,3,71,4664,2510000,2245000,2016
Stockholm,1154,3,53,3120,3475000,2895000,1937
Sollentuna,1330,1,34.6,1853,1995000,1995000,2014
Stockholm,1400,2,55,2947,2910000,2495000,1945
Nacka,1642,2,78,3500,4600000,4495000,1945
Stockholm,707,2,50,2954,4350000,4350000,1929
Stockholm,614,2,62,2458,5050000,4850000,1914
Solna,1575,1,18.5,1450,1750000,1780000,1973
Stockholm,1567,3,70,4471,2680000,1995000,1954
Stockholm,1156,2,72,4389,3250000,3295000,2017
Stockholm,562,3,81,2835,6210000,5495000,1987
Stockholm,783,3,84,4456,7000000,6495000,1931
Nacka,1655,3.5,80,6219,2450000,2295000,1931
Stockholm,1432,5,105.5,5820,4300000,4395000,1931
Stockholm,702,2,45,2802,4410000,3995000,1930
Stockholm,1319,3,70,3105,3005000,2495000,1957
Nacka,2480,3,61,3667,2015000,1695000,1957
Stockholm,448,3,90,3443,8650000,7950000,1884
Stockholm,781,2,50,1895,6000000,5495000,1966
Nacka,2573,3,81,5530,2100000,2100000,1969
Stockholm,1452,2,43,2150,3550000,3450000,2014
Stockholm,506,2,61,2065,5710000,4695000,1886
Stockholm,1446,2,45,3316,2930000,2995000,2003
Stockholm,809,1,32,1689,3350000,2850000,1923
Stockholm,633,2,50,3057,4950000,3995000,2015
Stockholm,648,3,72,3296,6900000,5950000,1913
Stockholm,587,2,55,1801,4550000,4150000,1965
Stockholm,1106,4,102.8,2881,10500000,10500000,2018
Stockholm,972,2,44,2434,3760000,3495000,1941
Stockholm,666,2,50,3201,5670000,4450000,1939
Stockholm,1714,2,47,3438,2410000,1995000,2011
Stockholm,537,1,28,1850,2780000,2250000,1952
Stockholm,1210,1.5,32,1984,2770000,2395000,1938
Stockholm,1068,2,37,3145,2710000,1995000,1940
Stockholm,1089,3,69,3717,6200000,5950000,1938
Stockholm,441,2,65,3084,6750000,6250000,1909
