region,dist_to_central_st,num_of_rooms,size,fee,final_price,initial_price,year_built
Sundbyberg,1034,2,46,2276,3350000,2995000,2017
Stockholm,691,1,34,2212,2950000,2550000,1911
Stockholm,903,2,39.5,2260,3400000,2995000,1931
Sundbyberg,1188,3,73,4258,4050000,3790000,1950
Stockholm,1035,3,76,4450,5350000,4995000,2014
Solna,1601,2,54.6,2639,2630000,1995000,1954
Stockholm,915,1.5,35,2581,2470000,2150000,1942
Stockholm,2085,3,71,3106,3725000,3395000,2014
Stockholm,1218,3,72.5,3228,5420000,4850000,1981
Solna,1189,3,84,4294,4400000,4400000,2011
Stockholm,1230,3,76,5326,4200000,3175000,1951
Solna,1369,3,76,4198,4180000,3795000,2016
Solna,1239,3,81.1,3758,4100000,3795000,1985
Stockholm,1750,2.5,64.5,3371,3425000,2995000,2015
Stockholm,1272,3,83,5163,2250000,2300000,1960
Stockholm,1358,3,70,3959,5710000,4995000,1947
Stockholm,1022,2,39,1372,3210000,2875000,1915
Stockholm,377,3,78,3276,9500000,7450000,1905
Stockholm,1505,2,60,2147,3400000,3095000,1938
Stockholm,1353,2,41,1647,3150000,2995000,2003
Solna,879,2,58.5,3087,3000000,2695000,1947
Stockholm,892,2,43,2416,3700000,3295000,1931
Nacka,1293,3,70.5,3733,3495000,3495000,1955
Stockholm,1198,4,107,6020,7850000,6495000,1983
Stockholm,1490,2,47,3265,3200000,3200000,1944
Stockholm,1149,2,45,2235,3100000,3100000,1936
Stockholm,722,2,34,2094,2975000,2695000,1939
Stockholm,1547,2,42,3750,2350000,1995000,1942
Solna,1405,2,43,2714,2605000,2275000,2013
Stockholm,810,2,43,3068,2800000,2450000,1937
Stockholm,2673,1,32,2292,1595000,1595000,2017
Nacka,1567,2,55,3151,2690000,2295000,2017
Stockholm,1368,3,86,4478,5950000,6595000,2019
Stockholm,1251,2,42.7,2225,2550000,2190000,1945
Solna,991,2,45,2774,3110000,2695000,1939
Stockholm,1574,2,57,3114,2450000,1995000,1949
Stockholm,1282,1,33,2382,1850000,1495000,2007
Stockholm,1149,2.5,55,2821,4600000,4195000,2007
Stockholm,570,2,47,1056,4100000,3795000,1930
Stockholm,827,1,19.4,1428,2490000,2095000,1930
Stockholm,845,1,30,1847,3000000,3000000,1929
Solna,1944,2,54,3430,2800000,2495000,1946
Stockholm,1414,3,75.5,4109,3100000,2795000,1960
Stockholm,631,2,34,1639,3560000,3095000,1878
Solna,1522,3,80,3449,4410000,3995000,2012
Stockholm,935,3,80,4989,5250000,5250000,2008
Stockholm,737,1,28,2013,2975000,2995000,1911
Stockholm,535,2,68,1247,6640000,5750000,1938
Sollentuna,1768,4,93,5386,3700000,3495000,2014
Stockholm,804,1.5,28,1709,2450000,2500000,1934
Solna,4030,2,58,2706,3180000,2795000,1959
Stockholm,1461,2,51,2856,3000000,2690000,1942
Stockholm,1457,2,59.5,3193,2425000,1995000,1955
Stockholm,1193,2,51,2950,3380000,2695000,1939
Stockholm,647,3,80,2301,6650000,6250000,1939
Solna,364,2,53,3106,3500000,2895000,1948
Stockholm,971,2,52,2992,3500000,2995000,1945
Stockholm,494,3,68,2654,6475000,6475000,1903
Stockholm,1030,3,70.5,3909,5000000,3995000,1947
Stockholm,1703,3.5,109.5,6417,3300000,2995000,1958
Stockholm,1550,3,66,3946,3300000,2995000,2018
Solna,1091,2,53,3187,3100000,2595000,1944
Nacka,1920,3,84.5,5788,3800000,3800000,1944
Stockholm,596,3,61,2885,5200000,4995000,1944
Stockholm,611,2,38.5,2465,3360000,2990000,1898
Solna,1318,1.5,37,2066,2700000,2795000,1898
Stockholm,1163,3,70,4133,4580000,4495000,2015
Stockholm,1058,3,76,4238,4400000,3975000,1949
Stockholm,763,2,42,1933,4200000,4200000,1928
Stockholm,1577,2,54.5,3389,2430000,2095000,1928
Stockholm,1120,1.5,32,2432,2750000,2390000,1936
Nacka,1495,2,45,2625,3395000,3395000,1936
Stockholm,878,2,54,2777,6260000,5495000,1883
Stockholm,765,3,73,2470,7600000,6750000,1950
Stockholm,783,2,67,1469,6850000,6495000,1905
Stockholm,558,2,70,3609,5125000,4875000,1999
Stockholm,953,1,27,1623,2460000,2150000,1931
Stockholm,797,2,62,2246,5500000,5395000,1901
Stockholm,946,2,31.5,2339,3350000,2995000,1928
Stockholm,845,2,35.8,2028,3425000,2995000,1938
Solna,824,2,67,3490,3300000,3095000,1938
Stockholm,1121,2,42,2619,3060000,2495000,1929
Stockholm,1239,3.5,73,4471,4125000,3995000,1930
Stockholm,619,1.5,43,2371,3420000,2995000,1931
Sundbyberg,1952,2,55,2803,2460000,2295000,2012
Stockholm,397,3,87,2242,7800000,7295000,1907
Stockholm,559,4,85,3574,8350000,7650000,1912
Stockholm,1402,2,43.5,2445,2410000,1895000,1943
Stockholm,976,1.5,27.7,834,2850000,2900000,1973
Stockholm,331,2,60,2791,5525000,4795000,1934
Stockholm,1550,3,86,4410,2850000,2695000,1975
Stockholm,1867,3,71,4419,3250000,3195000,2013
Stockholm,819,2,66,2941,5200000,4995000,1925
Stockholm,644,2,53,2462,4350000,3950000,1904
Stockholm,581,2,36,2218,3200000,2795000,1939
Stockholm,977,2,41,2197,3130000,2495000,2019
Stockholm,1501,2,53,2893,2950000,2495000,1942
Stockholm,837,1,23,1691,2500000,1995000,1930
Solna,873,2,56.5,2840,2920000,2595000,1962
Stockholm,633,2,54,1960,5550000,5000000,1906
Stockholm,915,2,40,1972,2750000,2750000,1931
Stockholm,710,2,57,2185,5460000,4950000,1900
Stockholm,581,1,25,1924,2655000,2150000,1930
Stockholm,484,1.5,42,1831,3950000,3450000,1926
Stockholm,839,1.5,31,1864,2800000,2395000,1931
Stockholm,1229,1,30,1670,2600000,2195000,1972
Solna,1940,1,36,2139,2510000,1795000,1938
Sollentuna,1865,3,73,3837,3550000,3200000,2011
Stockholm,1477,2,50,3823,2670000,2095000,1944
Stockholm,601,2.5,54,2343,4800000,4495000,1883
Stockholm,562,2,38.5,1450,3725000,3095000,1959
Solna,797,4,103,5120,4900000,4595000,1966
Stockholm,1533,1.5,37,1940,2820000,2495000,1966
Stockholm,924,2,46,2156,3650000,3150000,1931
Solna,1140,2,56,3113,3330000,2795000,2005
Stockholm,996,2,58,3196,3205000,2750000,1949
Stockholm,967,2,38.5,2135,3110000,2795000,1931
Stockholm,1659,2,41,3485,2405000,1950000,1944
Solna,1085,2,60.7,2957,3675000,2895000,1954
Stockholm,1558,3,74,3783,2750000,2495000,1949
Solna,1517,5,123,5456,6170000,5795000,2015
Stockholm,943,3,117,5503,10500000,9695000,1897
Stockholm,469,2,36,995,3600000,2995000,1907
Stockholm,1543,3,53,3540,3025000,2575000,1943
Stockholm,475,2,56,3146,4710000,3975000,1929
Stockholm,989,2,62,1445,4375000,3995000,1970
Stockholm,708,2,40,1516,3050000,2850000,1964
Stockholm,1005,2,40,2678,2720000,2350000,1939
Stockholm,1441,2,42.7,2523,2540000,2295000,1944
Stockholm,599,2,49,2431,5275000,4375000,1928
Stockholm,785,1,33,2274,3050000,2595000,1941
Stockholm,1492,2,53.5,2893,2980000,2495000,1942
Stockholm,1177,2,44.5,3589,2950000,2490000,1939
Stockholm,1071,1,30,1264,2500000,1995000,1925
Solna,878,2,63,2839,3100000,2995000,1950
Sundbyberg,337,1,38.5,2280,2660000,2295000,1928
Stockholm,1267,2,42,3066,2650000,2095000,1944
Stockholm,1206,1,33,1927,2520000,1995000,2017
Stockholm,440,1,26,1015,3210000,2495000,1939
Stockholm,601,2,47,2521,4160000,3475000,1883
Stockholm,1769,3,86.5,5899,2495000,2495000,1982
Stockholm,1125,2,53,2645,4250000,3495000,1939
Stockholm,679,1,39,1586,3700000,3250000,1909
Solna,1476,2,57,3634,3200000,2995000,2018
Stockholm,1441,3,85,4334,6000000,5495000,2018
Stockholm,1170,2,49,3769,2600000,2295000,2008
Stockholm,597,2,37.5,845,3835000,3350000,1930
Stockholm,831,3,85,4958,4100000,4100000,2015
Stockholm,736,2,44,1553,4420000,3975000,1895
Solna,1034,1,40,1883,2650000,2395000,1911
Stockholm,1878,5,117,6560,2250000,2350000,1956
Sundbyberg,882,2,61.5,4951,2600000,2395000,1966
Stockholm,483,2,34,1603,3450000,3250000,1880
Stockholm,1298,2,49.5,3069,2525000,1995000,1953
Stockholm,739,3,76,3387,7960000,6950000,1931
Stockholm,1079,2,66,3485,4330000,4195000,2011
Sollentuna,939,4,76,5247,2495000,2495000,1944
Stockholm,598,3,84,3727,7950000,7250000,1906
Stockholm,708,2,41.5,2173,4150000,3495000,1933
Solna,510,2,58,2963,3325000,2750000,1952
Stockholm,1461,5,132,7251,8100000,6975000,1910
Stockholm,577,2,41,1944,4650000,3495000,1900
Stockholm,1547,3,73,3919,2000000,1895000,1976
Stockholm,1404,4,93,6229,4300000,3495000,1996
Solna,843,1.5,49.5,2246,2450000,2095000,1973
Stockholm,560,3.5,100,870,8900000,7900000,1929
Nacka,2915,2,71,4332,4250000,4150000,1929
Nacka,1366,2,48,2868,3550000,3575000,2017
Stockholm,1699,3,79,4180,3795000,3795000,2019
Stockholm,220,1,32,2514,3020000,2695000,1934
Nacka,1964,4,93,5565,2600000,2395000,1934
Stockholm,520,3,72,2404,5750000,4895000,1991
Stockholm,788,2,50,2390,4025000,3750000,1943
Stockholm,785,1,24,440,2700000,2195000,1962
Stockholm,1616,2,66,3300,2400000,1995000,1962
Stockholm,565,3,75,3750,7225000,6450000,2016
Stockholm,542,2,52,2820,4620000,4725000,1898
Stockholm,839,2,86,3737,8450000,7995000,1895
Stockholm,1236,2,43,2510,2950000,2495000,1945
Stockholm,1368,2,55,3251,3900000,4050000,2018
Stockholm,834,1,24,1278,2600000,2195000,2018
Stockholm,531,1,33,1655,3850000,3475000,1886
Stockholm,1239,2,55,3225,2350000,1995000,1886
Stockholm,626,2,42.5,3288,4000000,3295000,1996
Stockholm,1389,2,55,4059,2800000,2295000,1953
Solna,990,3,82.3,4023,3810000,3495000,1966
Stockholm,754,2,40,2339,4025000,3395000,1935
Solna,1593,1,34,2150,2200000,2200000,1972
Stockholm,712,2,53,2118,5100000,4995000,1902
Stockholm,1088,3,82,3793,6395000,6395000,1929
Stockholm,981,2,32,1680,3300000,2750000,1938
Sundbyberg,780,1.5,39,1990,2915000,2900000,2015
Sundbyberg,2018,2,58,3393,2600000,2295000,2018
Stockholm,1167,2,62,4037,2550000,2695000,1989
Stockholm,1680,1,25,1371,1700000,1495000,1958
Sundbyberg,294,2,67,3396,4670000,4395000,2017
Solna,1476,3,69,4399,4000000,3995000,2019
Stockholm,806,3.5,86,4958,4990000,4990000,2007
Stockholm,1390,2.5,71,3537,4350000,3995000,2002
Stockholm,1455,3,55.5,4434,3590000,2995000,1943
Stockholm,386,2,42,1996,2900000,2995000,1950
Solna,1004,2,54,2154,3000000,2495000,1957
Sundbyberg,758,3,93,5596,6000000,5395000,2013
Stockholm,872,4,103,5994,6040000,5495000,2016
Stockholm,1033,2,44,2433,4160000,3550000,1937
Stockholm,1400,2,46,2960,1670000,1495000,1976
Stockholm,1334,2,58,2930,2620000,2295000,1949
Stockholm,2436,4,91,5500,2425000,2275000,1984
Stockholm,366,3,90,3551,8650000,8495000,1885
Stockholm,521,1.5,35,2312,4150000,3295000,1898
Stockholm,804,3,72,2459,7725000,6150000,1908
Solna,1025,5,121,7070,7550000,6595000,2006
Stockholm,977,2,54,2934,3750000,2750000,1946
Stockholm,1490,2,50,3546,4225000,2995000,1944
Nacka,1750,2,63,4095,2285000,1995000,1988
Stockholm,1076,3,78,5031,4200000,3895000,1936
Stockholm,1707,3,74,4243,3700000,2895000,1950
Stockholm,843,1.5,31,1892,2600000,2395000,1934
Stockholm,842,1,40,2144,3250000,2950000,1931
Stockholm,1127,3,56.5,4004,3105000,2675000,1945
Stockholm,1497,3,66.5,3850,4950000,4795000,2008
Stockholm,893,2.5,72,2864,4010000,3395000,1962
Stockholm,1783,3,73,4484,2100000,2100000,1959
Nacka,2873,2,61,4350,1995000,1995000,1969
Stockholm,657,2,46,1921,5225000,4195000,1904
Stockholm,867,3,50,2531,5150000,4395000,1947
Solna,1122,2,66,3445,2730000,2495000,1968
Stockholm,1903,2,46.5,3621,2460000,1995000,1939
Stockholm,987,2,47,2244,4050000,3650000,1929
Stockholm,1305,2,43,2589,2600000,1950000,1944
Stockholm,1567,2,42,2880,2475000,1995000,1944
Stockholm,2002,3,64.3,3516,3200000,2995000,1996
Nacka,1800,3,62,3358,3995000,3995000,2019
Stockholm,947,2,51,2451,4600000,4095000,1925
Stockholm,971,4,93,4599,5695000,5695000,1932
Solna,1252,2,63,2851,3450000,2950000,1990
Stockholm,853,2,55,3165,2900000,2695000,2018
Solna,1318,2,56,3127,3250000,3250000,2019
Stockholm,1753,1.5,37,2762,2000000,1695000,1958
Solna,1004,2,54,2154,3210000,2795000,1957
Solna,989,2,42,2415,2700000,2395000,2014
Solna,938,2,66,3435,3800000,3595000,2003
Stockholm,907,2,47,2272,4150000,3990000,1925
Stockholm,1473,1,30,1721,1600000,1600000,1955
Stockholm,1081,3,67,4322,4725000,3495000,1947
Stockholm,679,2,31,1240,3800000,3195000,1906
Stockholm,1064,1,24,1410,3100000,2995000,1939
Stockholm,1060,3,61.5,2866,5350000,4495000,1932
Stockholm,281,2,44,639,4300000,3995000,1884
Nacka,2541,2,59.2,2775,2045000,1995000,1884
Stockholm,911,1,40,2467,3375000,2995000,2007
Nacka,2391,3,78,4946,2350000,2195000,1971
Stockholm,1033,4,93,4824,4450000,4395000,2017
Stockholm,609,3,73,3984,7050000,7100000,1927
Stockholm,630,3,80,2301,6950000,6800000,1968
Stockholm,862,2.5,63,2763,5850000,5650000,1931
Stockholm,662,3,82,2801,7725000,6995000,1909
Stockholm,584,2,53,2702,4625000,4275000,1932
Stockholm,610,2,58,2639,6600000,5795000,1904
Stockholm,478,3,101,3370,8730000,8475000,1904
Stockholm,519,2,31,940,3525000,2975000,1896
Sollentuna,2648,2,55,3069,1985000,1995000,2008
Stockholm,1167,3,88,5258,3900000,3595000,1952
Stockholm,1642,2,41,3227,2250000,2250000,1944
Stockholm,1531,3,70.7,3889,2480000,1990000,2001
Nacka,2339,3,66,3623,3200000,3295000,2017
Stockholm,436,2,41,2779,3800000,3925000,1901
Stockholm,1397,2,47,2752,2700000,2700000,1942
Stockholm,935,1.5,43,1870,2950000,2495000,1934
Stockholm,1461,4,85.5,3845,2900000,2900000,1934
Stockholm,940,4,106,4477,8000000,7795000,1973
Solna,1737,1,24,1562,2250000,1995000,1943
Stockholm,1781,4,87.5,5476,2420000,2190000,1960
Stockholm,892,5,128,6617,8700000,8700000,2017
Solna,1143,5,145,6629,6000000,4995000,1958
Nacka,982,4,124.5,5389,7550000,7500000,2000
Stockholm,1334,1,33,1568,2400000,1995000,1942
Stockholm,687,2,44,2148,4200000,3995000,1931
Stockholm,1379,2,40,2661,3025000,2650000,1935
Solna,1248,2,65,3419,5100000,5100000,1911
Solna,805,2,59,3442,3100000,2995000,2016
Stockholm,1230,2,58,3438,4650000,3950000,2005
Stockholm,2512,3,76,4540,2500000,2295000,1957
Stockholm,1763,1,39,1972,1970000,1795000,1957
Stockholm,1752,2,58,3866,2865000,2395000,1954
Sollentuna,2102,1,29.5,1746,1335000,1000000,1975
Stockholm,1250,1,35,2235,2780000,2195000,1949
Stockholm,1935,2,42,3149,2300000,1995000,2012
Stockholm,1409,3,76,4281,6500000,5725000,2008
Nacka,2715,3,81,4281,2350000,1995000,2008
Stockholm,1778,3,74,3970,3775000,3695000,2009
Solna,1327,3,74,4307,3600000,3600000,2004
Stockholm,953,2,42,2241,4300000,3795000,1925
Solna,391,2,62,3578,3800000,3295000,1946
Stockholm,935,2,56,3464,2825000,2495000,1946
Stockholm,889,2,61,1933,4700000,4395000,1975
Stockholm,1367,4,87,5437,4950000,4595000,2012
Solna,976,3,87.5,4508,4300000,3795000,2016
Stockholm,584,2,49,2413,4050000,3895000,2013
Stockholm,1401,2,44,3002,2700000,2395000,1943
Stockholm,1394,2,53,3526,3100000,2895000,1926
Stockholm,986,3,76,3927,3350000,2995000,2008
Stockholm,746,2,48,2741,4100000,4100000,1931
Stockholm,698,2,35,1482,3675000,3150000,1963
Stockholm,1352,1,22,1513,2250000,1950000,1963
Stockholm,452,2,67,4076,4630000,4150000,1992
Stockholm,1023,1,25,1641,2140000,1795000,1943
Stockholm,1715,3,77,4057,3950000,3295000,2009
Stockholm,1419,1,26,1551,1725000,1495000,2015
Solna,916,4,103,4910,4370000,4195000,1967
Stockholm,1992,2,62,4364,1800000,1795000,1958
Stockholm,321,3,77,4430,7120000,6995000,1909
Stockholm,654,3,75,3863,4550000,4195000,1946
Stockholm,593,2,66,3174,6200000,6390000,1912
Stockholm,851,1.5,28,1758,2325000,1995000,1945
Sundbyberg,1380,3,79.5,4292,2650000,2495000,1983
Stockholm,1733,3,64,3865,2925000,2595000,1946
Stockholm,479,2.5,66,1344,6200000,5590000,1946
Stockholm,1139,3,73,3737,5300000,5300000,1946
Stockholm,473,1,31,1928,4200000,3495000,1906
Stockholm,587,2.5,68,2162,5340000,4695000,1964
Stockholm,1257,2,57,3128,2000000,1795000,1968
Stockholm,780,2,43,2002,3900000,3995000,1968
Stockholm,510,3,83,3096,6310000,5950000,1969
Nacka,1638,4,84,4900,5400000,5400000,2017
Nacka,2513,4,101,4888,4900000,4695000,2017
Stockholm,1304,4,92,5066,5995000,5995000,2016
Stockholm,1265,2.5,51,2950,3100000,2595000,1940
Stockholm,443,2,43.5,3255,3900000,3900000,1934
Stockholm,1717,2,43,2259,2550000,2395000,2010
Stockholm,654,2.5,62,3578,5800000,5250000,1929
Stockholm,1956,3,78,4209,2330000,2395000,1958
Stockholm,1368,2.5,53,2988,3020000,2495000,1950
Stockholm,627,3,106,4959,10125000,8695000,1906
Nacka,2715,2,61,3224,1970000,1795000,1971
Stockholm,1099,1.5,43,2541,2900000,2500000,1915
Stockholm,2115,4,95,5460,4900000,4750000,2014
Stockholm,1241,3,83,4700,2800000,2900000,2016
Stockholm,1194,2,45,2959,2780000,2495000,2016
Stockholm,712,1,25,1305,2260000,1995000,2016
Stockholm,1464,3,81,4799,2250000,2300000,2016
Stockholm,664,1,38,1422,2815000,2495000,1964
Stockholm,755,1,24,1672,2550000,2145000,1929
Stockholm,1478,2,43,2343,2600000,2150000,2016
Stockholm,306,4,105.5,6869,10400000,10495000,2019
Sundbyberg,1350,4,87,3656,3700000,3395000,1965
Stockholm,1027,3,60,3175,3050000,2495000,1965
Nacka,1517,4,95,4241,5325000,5400000,2019
Stockholm,502,2,59,1806,4900000,4250000,1907
Stockholm,601,3,81,3144,6710000,6495000,1939
Stockholm,595,3,70,4310,3150000,2995000,1951
Stockholm,1285,3,56,3902,2950000,3050000,1945
Sollentuna,1247,3,73.1,3625,2235000,2350000,1970
Stockholm,1409,2,57,2932,2550000,2095000,1946
Stockholm,967,2,38.5,2048,3250000,2795000,1931
Stockholm,510,1,30,2110,3000000,3100000,1937
Solna,877,2,36,1950,2740000,2740000,2016
Stockholm,1270,2,61,3484,5200000,4650000,1945
Stockholm,1524,1,27,2083,2100000,1595000,1955
Solna,988,3,69,4016,4310000,3495000,1998
Stockholm,2586,5,112,6529,2915000,2750000,1958
Solna,1563,3,81,3789,4850000,4750000,2007
Stockholm,1673,3,77,4035,3900000,3295000,2009
Stockholm,656,1,25,561,2850000,2495000,1942
Stockholm,754,3,50,2905,4700000,4395000,1935
Sundbyberg,1482,4,85.5,3845,3070000,2895000,1957
Stockholm,1026,2,38,3130,2400000,2095000,1943
Stockholm,1148,3,73,3608,4950000,3895000,1948
Stockholm,1203,4,101,5892,9100000,8495000,2013
Stockholm,882,2,50,3148,3900000,3495000,2013
Nacka,1700,1,45,2881,2325000,2085000,2007
Stockholm,1431,3,80,5212,2500000,2295000,1974
Stockholm,1341,2,55,3102,2750000,2250000,1955
Solna,973,2.5,61.2,2028,3000000,2695000,1965
Stockholm,1657,2,46,2713,2450000,1995000,1965
Stockholm,804,3,65,4632,5850000,5475000,1910
Stockholm,599,2,54,2290,6060000,4950000,1888
Sundbyberg,1681,4,87,4843,3515000,3550000,2015
Stockholm,812,3,79,3297,6600000,6195000,2009
Stockholm,911,4,115,5071,9250000,9450000,1885
Stockholm,1474,2,50,2901,3470000,3495000,2017
Stockholm,707,2,66,3390,5680000,5250000,1913
Stockholm,633,4,80.4,3455,7400000,6995000,1913
Stockholm,1194,1,44,2473,2580000,2350000,1927
Stockholm,546,2,59,2393,5200000,4850000,1913
Stockholm,1359,2,44.5,2758,2470000,2250000,1943
Sollentuna,1585,2,44,2255,2150000,2095000,2017
Stockholm,1917,2,73.5,3271,3450000,2995000,2017
Stockholm,753,3,81,2523,8000000,6895000,1925
Stockholm,2047,2,66,3948,3150000,3150000,2016
Stockholm,484,2,56,3178,5950000,5595000,1880
Nacka,2315,4,97,6316,2650000,2495000,1971
Nacka,1525,3,78,5304,4005000,3695000,2006
Stockholm,819,3,84,4584,7550000,7550000,1897
Stockholm,1281,2,49,2850,3350000,2795000,2008
Stockholm,1431,2,40,2060,2600000,2095000,1944
Stockholm,817,2,61,3774,4475000,3795000,1912
Stockholm,1227,2,55,2947,2700000,2275000,1945
Stockholm,933,3,62,4179,3800000,3350000,1939
Stockholm,1031,2,62,3438,3300000,2850000,1946
Stockholm,1208,2,59,3645,2995000,2995000,2015
Stockholm,614,2.5,83.2,3778,6210000,5995000,1998
Stockholm,424,1,31,1523,3150000,2995000,1938
Solna,1022,3,91,4839,3235000,2895000,1965
Solna,964,3,83.7,4026,5750000,3995000,2002
Stockholm,805,2,36,1972,3280000,2895000,1936
Stockholm,1086,2,50,3289,4830000,3995000,1942
Sundbyberg,984,4,86,4681,3100000,2695000,2004
Stockholm,1241,2.5,56,3395,4250000,3795000,1939
Solna,942,1,20,1137,2100000,1980000,1953
Stockholm,1996,3,67,3437,2100000,1750000,1960
Stockholm,794,3.5,126,4621,9820000,8450000,1926
Stockholm,928,2,46,1668,4350000,3950000,1926
Stockholm,331,1.5,42,1485,3900000,3795000,1973
Solna,1090,2,42,2367,2750000,2495000,2009
Stockholm,630,3,80,2301,6800000,6495000,1968
Stockholm,1031,2,53,2609,4900000,4195000,1912
Stockholm,1135,3,93,5135,5410000,4995000,2005
Stockholm,1372,3,68,3812,3100000,2895000,1946
Stockholm,820,2,52,1827,5300000,4795000,1906
Stockholm,1062,2,65,3250,5560000,5560000,2017
Stockholm,1543,4,111,6302,7325000,7495000,1938
Stockholm,1762,3,68,5071,2990000,2500000,2004
Nacka,2328,4,82.8,4992,3195000,3195000,1985
Stockholm,1313,1,26,1206,2350000,1995000,1985
Stockholm,1211,2,51,3422,3130000,3130000,2019
Stockholm,903,3,71,3446,5550000,5495000,1940
Stockholm,1393,3,68,3131,4875000,4550000,2008
Stockholm,1454,2,40,2734,2410000,1995000,1949
Stockholm,539,2,58,3055,5800000,5395000,1899
Stockholm,1571,3,86,5252,5400000,4395000,2008
Nacka,2381,1.5,37,2445,1600000,1495000,2008
Stockholm,875,3,67,2170,6190000,5995000,1903
Stockholm,589,2,41.5,2020,3550000,3195000,1903
Stockholm,1362,4,83,3502,3450000,2975000,1958
Stockholm,1230,4,68,4979,3050000,2950000,1939
Nacka,2233,5,122,6069,3550000,3495000,1939
Nacka,2361,3,70,4109,2200000,1995000,1939
Stockholm,1168,3,77,4426,2200000,2195000,1976
Stockholm,1703,4,85,2443,4500000,4395000,1968
Stockholm,536,3,105,5309,8200000,7450000,1906
Stockholm,772,4,83,3423,7670000,6995000,1933
Stockholm,1820,4,91.5,6533,2340000,2290000,1990
Solna,1025,1,23,1277,2260000,1795000,1990
Sollentuna,1128,3,71,4119,3450000,3495000,2016
Stockholm,981,1,21,1559,2670000,2195000,1939
Sollentuna,1213,2,43,3105,2525000,2600000,2014
Stockholm,1153,2,46,2193,2700000,2295000,1945
Stockholm,1837,2,61,3206,2500000,2500000,1945
Stockholm,1395,3,68,4430,3725000,3195000,1954
Stockholm,1281,3,81.5,5814,2200000,2275000,1999
Stockholm,2074,2,60,3676,2250000,1995000,1955
Stockholm,1341,2,55,3120,2510000,1995000,1955
Stockholm,1298,2,49.5,3069,2500000,1995000,1955
Stockholm,778,3.5,74,2999,8100000,7395000,1903
Stockholm,1116,4,100.5,5131,9125000,8500000,2012
Stockholm,1082,2,34.5,2291,2700000,2195000,1940
Stockholm,1249,4,100,5277,5275000,4995000,1927
Sundbyberg,1050,1,35,2566,2400000,1995000,1945
Stockholm,1428,2,49,2764,3495000,3495000,2018
Stockholm,1314,2,57.2,3827,3212500,3212500,2004
Sundbyberg,901,3,71,4864,4430000,3995000,2004
Stockholm,736,3,68,3439,5510000,4795000,1927
Stockholm,509,3,67,3146,6650000,5795000,1892
Stockholm,1259,2,44,2961,3240000,3250000,1936
Sollentuna,1894,1,38,2264,2075000,1995000,2018
Stockholm,1768,5,118,6181,6000000,5495000,2017
Solna,4030,2,60.5,2933,3325000,2850000,1960
Solna,1214,3,73.5,4350,4080000,3975000,2012
Solna,1135,3,105,3960,7055000,6495000,1911
Nacka,3221,3,77.8,3829,2010000,1995000,1911
Stockholm,561,2,39,1843,3620000,3350000,1913
Sundbyberg,351,1,24,1310,2300000,1995000,1947
Stockholm,831,2,66,1105,6110000,5495000,1916
Sundbyberg,1131,3,80.5,4308,4350000,3850000,1965
Stockholm,1649,2,39,2686,2800000,2350000,1945
Solna,1044,1,17,1118,1800000,1595000,1953
Sollentuna,1373,3,87.3,3974,2350000,1895000,1967
Stockholm,998,2,64.5,3616,4100000,3895000,1992
Stockholm,1383,4,97,5291,5000000,4695000,2016
Solna,1701,1,42,2693,2225000,2250000,2019
Sollentuna,1855,3,79,4857,3500000,3500000,2013
Stockholm,1021,2,35,2291,2800000,2195000,1939
Stockholm,1262,2,62,3109,4300000,3795000,1939
Stockholm,1328,3,71,4933,2730000,2395000,1985
Stockholm,1994,4,66,3768,2600000,2475000,2009
Stockholm,2699,2,67.5,4209,2150000,1995000,2010
Stockholm,443,4,83,2762,9060000,8250000,1887
Solna,674,2,60,3516,3450000,3450000,2003
Stockholm,966,2.5,67,3300,5125000,4750000,1935
Stockholm,746,2,46,2540,3990000,3495000,1938
Stockholm,1418,2,51,2964,2850000,2195000,1945
Stockholm,1298,4,92,5205,7300000,6495000,1945
Stockholm,597,4,106,4908,11100000,10500000,1968
Stockholm,785,3,71,3280,6220000,5395000,1926
Stockholm,1054,1,29.5,1275,2500000,2295000,1964
Solna,1479,5,119,5699,6200000,5950000,2013
Stockholm,640,4,72,4632,3250000,3175000,1951
Stockholm,1165,2,61.7,3053,3660000,2975000,1938
Sundbyberg,478,3,88.5,5990,4495000,4495000,1999
Stockholm,1618,4,84,6355,8850000,7995000,2001
Stockholm,1038,2.5,71,3450,4530000,3795000,1949
Stockholm,1780,3,80.5,4302,3970000,3795000,2012
Stockholm,1359,2,64.5,3849,3900000,3295000,2008
Stockholm,945,2,60.5,2545,4795000,4795000,2010
Stockholm,2363,3,73,4552,2410000,2195000,1958
Solna,909,3,76,3432,3650000,3395000,1983
Solna,771,3,74.5,4226,5100000,4295000,1944
Stockholm,2089,1,28,1850,1815000,1475000,1967
Stockholm,1460,4,100,5853,2995000,2995000,1977
Stockholm,521,4,98,3835,10300000,9475000,1895
Stockholm,807,2.5,70,3508,6350000,5475000,1926
Solna,929,4,86,2769,5800000,5800000,1932
Stockholm,795,3,78.5,3575,4800000,4495000,2005
Stockholm,1290,3,67.5,3745,3450000,3450000,1962
Stockholm,1038,2,66.5,3223,4950000,4495000,1930
Stockholm,1394,1.5,44.5,2727,2975000,2950000,2019
Stockholm,691,1,33,2212,2980000,2550000,1911
Stockholm,1144,3,58.5,3861,2900000,2475000,1944
